name
"Advanced Planning"
"Business Development"
"Compliance Risk and Management"
"Call Center"
"Administration"
"Customer Service / Support"
"Data Storage and Management"
"Executive Management"
"E-Commerce"
"Facilities / Property Management"
"Finance / Accounting"
"Human Resources"
"Information Security"
"Information Sys. / Information Tech."
"IT / Datacenter Operations"
"Legal / Contracts"
"Manufacturing"
"Logistics / Distribution"
"Marketing / Advertising"
"Middle Management"
"Other"
"Operations"
"Payroll / Benefits"
"Order Management / Fulfillment"
"Product Development"
"Project Management"
"Public Relations"
"Purchasing / Procurement"
"R&D / Scientific"
"Sales"
"Shipping / Traffic / Transportation"
"Training"
"Software Development"
"Warehousing"
